name,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1116180,dukou32,1,dukou,0,43,6,2,70,5,NA,0,0,30,1,1,1,0,0,0,0,1,0.200000003,5,0,1,1,0,0
1116211,dukou32,1,dukou,0,76,9,0,NA,2,NA,1,1,0,1,1,1,1,0,0,0,1,0.200000003,9,0,0,0,NA,0
1116217,dukou32,1,dukou,1,37,4,2,90,25,NA,0,1,20,0,1,1,1,0,1,0,0,0.600000024,9,0,1,1,NA,1
1116224,dukou32,1,dukou,1,63,6,1,30,8,20,0,1,40,1,1,1,1,0,0,0,1,0.200000003,9,0,1,0,NA,1
1116194,dukou32,1,dukou,0,55,4,2,NA,11,20,0,0,50,1,1,1,1,1,0,0,1,0.200000003,9,0,1,1,NA,1
1116260,dukou32,1,dukou,1,59,2,0,30,5,NA,1,1,15,1,1,1,1,1,0,0,1,0.400000006,9,0,0,0,NA,0
1116186,dukou32,1,dukou,0,53,2,2,15,5,NA,1,1,30,1,1,1,1,0,0,1,0,0.200000003,9,0,1,1,NA,0
1116191,dukou32,1,dukou,0,65,10,0,40,8,NA,0,0,20,0,1,1,1,0,1,0,0,0.400000006,9,0,0,0,NA,0
1116193,dukou32,1,dukou,1,50,5,2,60,9,NA,0,1,20,1,1,1,1,0,1,0,0,0.600000024,9,0,1,1,NA,0
1116244,dukou32,1,dukou,1,38,6,0,60,20,NA,0,0,30,1,1,1,0,0,0,0,1,0,5,0,0,0,0,0
1116205,dukou32,1,dukou,0,72,5,0,100,2,NA,0,1,40,1,1,1,1,1,0,0,1,0.600000024,9,0,0,0,NA,0
1116199,dukou32,1,dukou,0,59,3,2,NA,13,10,0,0,50,1,1,1,1,0,0,0,1,0.400000006,9,0.399999976,1,1,NA,1
1116187,dukou32,1,dukou,1,53,9,1,60,13,20,0,0,9,1,1,1,0,1,0,0,1,0.800000012,5,0,NA,0,0,1
1116259,dukou32,1,dukou,0,76,9,0,NA,2,NA,1,1,0,1,1,1,1,1,0,0,1,0.800000012,9,0,0,0,NA,0
1116200,dukou32,1,dukou,0,45,4,1,30,8,NA,1,0,10,1,1,1,0,1,0,0,1,0.200000003,5,0.199999988,1,0,0,0
1116181,dukou32,1,dukou,1,43,4,2,20,8,NA,1,0,20,1,1,1,1,1,0,0,1,0.800000012,9,1,1,1,NA,0
1116220,dukou32,1,dukou,0,54,5,2,20,5.6,NA,0,0,50,1,1,1,1,1,0,0,1,1,5,1,1,1,NA,0
1116179,dukou32,1,dukou,0,56,6,0,30,5,20,1,0,20,1,1,1,0,1,0,0,1,0,5,1,0,0,0,1
1116197,dukou32,1,dukou,0,42,2,2,20,11,NA,1,1,40,1,1,1,0,0,0,0,1,0,5,1,1,1,NA,1
1116204,dukou32,1,dukou,0,73,6,0,100,3,NA,1,0,20,0,1,1,1,0,0,0,1,0.400000006,9,0,0,0,NA,0
1116246,dukou32,1,dukou,1,67,8,0,40,10,40,0,0,70,1,1,1,0,1,0,0,1,0.600000024,5,0.199999988,0,0,0,1
1116233,dukou32,1,dukou,1,70,7,2,11,1,50,0,0,50,1,1,1,1,0,0,0,1,0.200000003,9,0,1,1,NA,1
1116236,dukou32,1,dukou,0,47,4,1,19,1,NA,0,1,20,0,1,1,1,0,0,0,1,0.600000024,9,0,1,0,NA,0
1116234,dukou32,1,dukou,0,74,6,0,100,1.5,NA,0,1,40,1,1,1,1,0,0,1,0,0,9,0,0,0,NA,0
1116229,dukou32,1,dukou,0,66,7,1,100,5.4,NA,0,1,30,1,1,1,0,0,0,0,1,0,5,0,NA,0,0,0
1116230,dukou32,1,dukou,0,64,10,0,45,5.3,NA,0,1,0,0,1,1,1,0,1,0,0,0.200000003,9,0,0,0,NA,0
1116239,dukou32,1,dukou,0,43,4,1,70,9,30,1,1,20,1,1,1,1,0,1,0,0,0.800000012,9,0.399999976,1,0,NA,1
1116265,dukou32,1,dukou,0,55,2,1,100,38,20,1,0,40,0,1,1,1,0,0,0,1,1,9,0,1,0,NA,1
1116253,dukou32,1,dukou,0,55,5,0,100,30,30,0,0,30,1,1,1,1,1,0,0,1,0.800000012,9,0.399999976,0,0,NA,1
1116313,dukou41,1,dukou,1,70,6,2,70,12,NA,1,1,40,1,1,1,1,0,0,1,0,0.600000024,9,0.600000024,1,1,NA,NA
1116310,dukou41,1,dukou,0,63,7,0,30,8,NA,0,1,0,1,1,1,1,1,1,0,0,0.200000003,9,0.199999988,0,0,NA,0
1116306,dukou41,1,dukou,0,45,4,0,70,17,30,1,0,50,1,1,1,0,1,0,0,1,0,5,0,0,0,1,1
1116268,dukou41,1,dukou,1,54,2,1,20,1.5,40,1,0,20,1,1,1,1,1,0,1,0,0.200000003,9,0.399999976,1,0,NA,1
1116277,dukou41,1,dukou,0,58,6,1,30,5,NA,0,1,0,1,1,1,1,1,0,0,1,0.400000006,9,0,1,0,NA,0
1116269,dukou41,1,dukou,0,25,4,2,60,3,NA,0,0,50,1,1,1,1,0,1,0,0,0.400000006,9,0.399999976,1,1,NA,0
1116279,dukou41,1,dukou,1,65,6,0,40,3,40,1,1,40,1,1,1,1,1,0,0,1,0.200000003,9,0,0,0,NA,1
1116272,dukou41,1,dukou,0,70,9,0,90,9,NA,0,0,50,1,1,1,1,1,0,0,1,1,9,0,0,0,NA,0
1116270,dukou41,1,dukou,1,51,3,2,100,5,20,0,1,40,1,1,1,0,0,0,0,1,0,5,0,1,1,0,1
